:-)--	100 pound weakling
(c:	silly nose
(^o^)	Singing
:O	Singing
:-o	Singing
(^o^)	singing or laughing
~:-P	Single Hair
:-/	skeptical
;-/	skeptical
':-/	Skeptical Again
:-7	Skeptical Variation
8-X	Skull
(>.<) zzZ	Sleeping
u_u	Sleepy
|-)	Sleepy
(>.<)	Sleepy
%-)	sly
C:	Smile
=o)	smile
=)	smile
:o)	smile
:|)	Smile
:)	smile
:-)	Smile
B-)	smile and wearing sunglasses
=)	Smile!
(^_^)	smiley
:-]	smile
+:-)	Smiley priest
:-)	smiley standard
(:-#	smiley with braces
):-)	Smiley With Hair
{:-)	Smiley with its hair parted in the middle
:^J	Smiling
^&^	Smiling
^^	Smiling
:-1	Smirk
:-,	Smirk
:^,	Smirking
;^)	Smirking
:-Q	Smoker
:-Q	Smoking
:-d	smoking
?-(	Sorry
=.=	Sour Face
(X^(*	Sour Face
}:8>	Spanish bull
:-M	Speak no Evil
:-W	speak with forked tongue
*~*	Star Gazed
%-)	Staring At A Screen For Too Long
:-P	sticking out tongue
:-p	sticking their tongue out (at you!)
>:P	Sticking Tongue Out
:pp	Sticking Tongue Out
:P	Sticking Tongue Out
:-r	Sticking Tongue Out
:-P	sticking tongue out
:-)~	Sticking Tongue Out
:|	Straight face
-.-	Stressed
@?@	Stunned
&;-P	Suave
B-)	Sunglasses
8-)	sunglasses
B:-)	sunglasses on head
B :-)	Sunglasses on top of head
(8-{)}	Sunglasses, Mustache, Beard
/8^{~	Sunglasses, Mustache, Goatee
:-<	super sad
:-o	surprise
\m/<(^_^)>\m/	Surprised
{:o	Surprised
:o	Surprised
:0	Surprised
:-o	surprised
:-o	surprised, worried
8-|	Suspense
`:-)	Sweating
oxx:{}:::::::>	Sword
:-0	Talkative
:-D	smile
:^y	Talking
:-8	talking from both sides of mouth
:-S	Sick
:-v	Talking head Smiley
&-|	Tearful
]:->	The Devil
+-(:-)	the pope
*-)	Thinking
:-I	thinking
:-?	Thinking
^-^	tickled/giggling
=_=	Tired
(:|	Tired
8-;)	Tongue in Cheek
:-J	Tongue in Cheek
:-p	tongue sticking out
:-?	Tongue Sticking Out
:-&	tongue tied
:-&	tongue tied, donâ€™t know what to say
:-A	Tongue Touching Nose
:-&	tongue-tied
:-C	Totally Unbelievable
:-J	tounge in cheek
:-r	tounge out
:-P	tounge sticking out
:-&	tounge tied
>:-|	Trekkie
:-O	Uh oh
=-O	Uh-oh
X:-/	Uncertain
:-$	uncertainty
=):-)	happy
:\	Undecided
:-\	Undecided
:-/	Undecided
:-\	Undecided
|:-)	happy
):-(	UnSmiley big-face
(:-(	unSmiley frowning
|:-|	Unyielding
>.<	Upset
>:*	Upset
}:(	Upset
:-7	User after a wry statement
:-*	User after eating something bitter
:-6	User after eating something sour
:<|	User attends an Ivy League school
:-*	User just ate a sour pickle
(:)-)	User likes to scuba dive
:-#	user wears braces / lips are sealed
8-)	User wears glasses
:-&	User which is tongue-tied
:-#|	User with bushy mustache
:u)	User with funny-looking left nose
:n)	User with funny-looking right nose
}(:-(	User, wearing toupee in wind.
:~)	Userâ€™s face needs a nosejob, no explanation necessary
:-#	Userâ€™s lips are sealed.
@,.,@	Vampire
:-E	Vampire
:-[	Vampire
:[	Vampire Bat
:-[	Vampire Bat
:-[	Vampiro
:-)))	happy
:-))	happy
:-[]	Very hungry
:-)))	happy
(:-\	VERY sad
:-O	very shocked or yelling
%')	Very Tired
(:-(	Very Unhappy
(o^_^)o	Victory
:-w	Waiting
[:-)	happy
@:-)	happy
:-)X	happy
d:)	wearing a cap
D:-)	happy
[:-)	happy
:-#	wearing braces
B-|	wearing cheap sunglasses
8-)	Wearing Contacts
B-)	Wearing Glasses
(|:-)	happy
B-)	Wearing Sunglasses
8-)	Wearing Sunglasses
]-I	Wearing Sunglasses
(8-)	wears glasses
::-)	happy
:-)8	happy
:-P	happy
:-1	happy
-_-	happy
:'(	happy
:'-(	happy
:-"	happy
8-)	wide-eyed
;^?	Wigged Out
'-)	wink
(`_^)	Wink
;p	Wink
;O)	Wink
;)	wink
;-P	Wink
;-)	wink
~_^	Winking
'-)	Winking
;)	Winking
;-)	Winking
,-)	Winking Happy
;-)	winking smiley
;-)	Winking Variation
<):^/	Witch
:-)X	happy
*|:-)	happy
8<:-)	happy
8 :-)	happy
-=#:-)	happy
-=#:-) /	happy
:-)8 :	happy
$-)	won the lottery
:~)	Wondering
:-S	Worried
:-O	Wow!
,-}	Wry and winking
:-7	Wry Face
:-7	Wry Remark
(:|	Yawn
|-()	yawning
|^O	Yawning Or Snoring Variation
:-0	yell
>:O	Yelling
:-(0)	yelling
=:-0	yeow !!
:-l	yet another smiley
<(-.-)>	Yoda
<(-_-)>	Yoda
:-(*)	You Make Me Sick!
:-( )	You stepped on my toe
:--------)	Youâ€™re A Big Liar!
|-P	Yuk
