Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
180	0	0	0	0	0	0	0	Unidentified
181	0	0	0	0	0	0	0	Unidentified
182	0	0	0	0	0	0	0	Unidentified
183	0	0	0	0	0	0	0	Unidentified
184	0	0	0	0	0	0	0	Unidentified
185	0	0	0	0	0	0	0	Unidentified
186	0	0,35	0	0	0	0	0	Unidentified
187	0	0	0	0	0	0	0	Unidentified
188	0	0	0	0	0	0	0	Unidentified
189	0	0	0	0	0	0	0	Unidentified
190	0	0	0	0	0	0	0	Unidentified
191	0	0	0	0	0	0	0	Unidentified
192	0	0	0	0	0	0	0	Unidentified
193	0	0,6	0	0	0	0	0	Unidentified
194	0	0	0	0	0	0	0	Unidentified
195	0	0	0	0	0	0	0	Unidentified
196	0	0	0	0	0	0	0	Unidentified
197	0	0	0	0	0	0	0	Unidentified
198	0	0	0	0	0	0	0	Unidentified
199	0	0,3	0	0	0	0	0	Unidentified
200	0	0,6	0	0	0	0	0	Unidentified
201	0	0	0	0	0	0	0	Unidentified
202	0	0	0	0	0	0	0	Unidentified
203	0	0	0	0	0	0	0	Unidentified
204	0	0	0	0	0	0	0	Politics
205	0	0	0	0	0	0	0	Politics
206	0	0,35	0	0	0	0	0	Politics
207	0	0,7	0	0	0	0	0	Politics
208	0	0	0	0	0	0	0	Unidentified
209	0	0	0	0	0	0	0	Unidentified
210	0	0	0	0	0	0	0	Unidentified
211	0	0	0	0	0	0	0	Politics
212	0	0	0	0	0	0	0	Politics
213	0	0,35	0	0	0	0	0	Politics
214	0	0,35	0	0	0	0	0	Politics
215	0	0	0	0	0	0	0	Unidentified
216	0	0	0	0	0	0	0	Unidentified
217	0	0	0	0	0	0	0	Unidentified
218	0	0	0	0	0	0	0	Unidentified
219	0	0	0	0	0	0	0	Unidentified
220	0	0	0	0	0	0	0	Unidentified
221	0	0,35	0	0	0	0	0	Unidentified
222	0	0	0	0	0	0	0	Unidentified
223	0	0	0	0	0	0	0	Unidentified
224	0	0	0	0	0	0	0	Unidentified
225	0	0	0	0	0	0	0	Unidentified
226	0	0	0	0	0	0	0	Unidentified
227	0	0	0	0	0	0	0	Unidentified
228	0	0,35	0	0	0	0	0	Unidentified
229	0	0	0	0	0	0	0	Unidentified
230	0	0	0	0	0	0	0	Unidentified
231	0	0	0	0	0	0	0	Unidentified
232	0	0	0	0	0	0	0	Unidentified
233	0	0	0	0	0	0	0	Unidentified
234	0	0	0	0	0	0	0	Entertainment
235	0	0,7	0	0	0	0	0	Unidentified
236	0	0	0	0	0	0	0	Unidentified
237	0	0	0	0	0	0	0	Unidentified
238	0	0	0	0	0	0	0	Unidentified
239	0	0	0	0	0	0	0	Unidentified
240	0	0	0	0	0	0	0	Unidentified
241	0	0,35	0	0	0	0	0	Unidentified
242	0	0,7	0	0	0	0	0	Unidentified
243	0	0	0	0	0	0	0	Unidentified
244	0	0	0	0	0	0	0	Unidentified
245	0	0	0	0	0	0	0	Unidentified
246	0	0	0	0	0	0	0	Unidentified
